id,display_name
16666,Anthozoa<Cnidaria X
53342,Anticomidae<Enoploidea
26807,Anticomidae<Enoplida
92168,Bacteriastrum biconicum
90979,Antithamnion sp.<Chloroplast
19836,Antithamnion sp.<Antithamnion
23808,Apioclypea<Sordariomycetes
22643,Apioclypea<Dothideomycetes
39113,Apioclypea sp.<Apioclypea<Sordariomycetes
36113,Apioclypea sp.<Apioclypea<Dothideomycetes
32759,Arceuthobium campylopodum<Arceuthobium
58488,Archaeperidinium<Peridiniales-X
92557,Archaeperidinium minutum<temporary
79031,Archaeperidinium minutum<Archaeperidinium<Peridiniales-X
16789,Arcoida<Bivalvia
19815,Aristoptilon mooreanum<Aristoptilon
38767,Arthrobotrys oligospora<Arthrobotrys<Orbiliomycetes<Pezizomycotina
93436,shrimp-spiny
92640,Hyalolithus neolepis
92328,Microsetella norvegica
78998,Protoperidinium quinquecorne
85491,Chaetoceros laciniosus
78453,Diacavolinia angulata
84562,Phronima sp.
22800,ascomycete<Eurotiomycetes
37226,ascomycete sp.<ascomycete<Eurotiomycetes
36131,ascomycete sp.<ascomycete<Dothideomycetes
90986,Asterionellopsis glacialis<Chloroplast
26072,Asteroidea<Asteroidea<Asteroidea
51721,Astrobrachion<Euryalidae
92679,Coccolithophores
17696,Dictyota
55796,Synedropsis hyperborea
26144,Astrobrachion<Echinodermata XX
48702,Atractomorpha<Pterygota
15263,Atractomorpha<Sphaeropleales
55825,Attheya septentrionalis<Attheya<Mediophyceae
55817,Attheya sp.<Attheya<Bacillariophytina incertae sedis
56045,Aulacoseira ambigua<Aulacoseira
58185,Triposolenia bicornis<Triposolenia<Amphisoleniaceae<Dinophysiales
13731,Fucales
72859,Ocyropsis maculata
17662,Aureococcus anophagefferens<Aureococcus
32847,Austrocedrus chilensis<Austrocedrus
93267,Caranx
55845,Chaetoceros radicans
20764,Auxenochlorella protothecoides<Auxenochlorella
28650,Avrainvillea lacerata<Avrainvillea
92414,Azadinium caudatum<temporary
93721,light aggregates
31430,Babesia<Piroplasmida
23783,Babesia<Sordariomycetes
57984,Babesia bovis<Babesia
57966,Babesia microti<Babesia<Piroplasmida
39170,Babesia microti<Babesia<Sordariomycetes
37288,Babesia sp.<Babesia<Eurotiomycetes
1994,Bacillus<Bacillaceae
40246,Bacillus cereus<Bacillus<Saccharomycetales
10397,Bacillus cereus<Bacillus<Bacillaceae
30128,Bakerella<Santalales
25970,Balanus<Anthozoa
91001,Bangia fuscopurpurea<Chloroplast
19713,Bangia fuscopurpurea<Bangia
42420,Basidioascus<Geminibasidiaceae
32471,Bathycoccus prasinos<Bathycoccus
76003,Bathyeurystomina sp.<Bathyeurystomina<Oncholaimoidea
53394,Bathyodontus<Bathyodontina
26791,Bathyodontus<Enoplea X
52495,Batillaria<Sorbeoconcha
26418,Batillaria<Caenogastropoda
74015,Batillaria zonalis<Batillaria<Sorbeoconcha
52330,Batillaria zonalis<Batillaria<Caenogastropoda
24751,Batkoa<Entomophthorales
16298,Batkoa<Entomophthoromycotina
43018,Batkoa gigantea<Batkoa<Entomophthorales
24734,Batkoa gigantea<Batkoa<Entomophthoromycotina
32893,Bdallophytum americanum<Bdallophytum
51105,Beania<Neocheilostomatina
71511,Beania magellanica<Beania<Neocheilostomatina
21367,Beania magellanica<Beania<Ulvophyceae X
39306,Beauveria bassiana<Cordycepsbassiana
32930,Berberidopsis corallina<Berberidopsis
31327,Bergeriella<Urostylidae
1058,Bergeriella<Neisseriaceae
27458,Bigelowiella natans<Bigelowiella
16271,Blastocladiella<Blastocladiomycetes
12774,Blastocladiella<Fungi X
24619,Blastocladiella britannica<Blastocladiella<Blastocladiomycetes
16304,Blastocladiella britannica<Blastocladiella<Fungi X
31835,Blastodiniaceae<51
347,S25 1200
85213,Coccolithes
24320,Chaetocalathus
93722,Jaschnovia
31834,Blastodiniaceae<50
79005,Blastodinium navicula<Blastodinium 06
31530,Blastodinium navicula<Blastodinium
91008,Blepharostoma trichophyllum<Chloroplast
16009,Bodo<Parabodonid
22065,Bodo sp.<Bodo<Parabodonid
15986,Bodonidae<Eubodonid
12515,Bodonidae<Kinetoplastida
80149,Paraheterorhabdus
36162,Boeremia exigua var. exigua<Boeremia<Dothideomycetes<Pezizomycotina
72102,Boloceroididae<Nynantheae
51251,Boloceroididae<Actiniaria
23226,Botryosphaeria<Leotiomycetes
22616,Botryosphaeria<Dothideomycetes
32982,Brachypodium distachyon<Brachypodium
15261,Bracteacoccus<Sphaeropleales
12369,Bracteacoccus<Chlorophyceae
20504,Bracteacoccus sp.<Bracteacoccus<Sphaeropleales
15079,Bracteacoccus sp.<Bracteacoccus<Chlorophyceae
56687,Branchiura<Ichthyostraca
93102,Pseudaegina
43646,Branchiura<Haplotaxida
18113,Bryophyta X<Bryophyta<Embryophyta<Streptophyta
30794,Bryophyta X sp.<Bryophyta X<Bryophyta<Embryophyta
21423,Bryoxiphium norvegicum<Bryoxiphium
51394,Buddenbrockia<Malacovalvulida
92172,Bacteriastrum parallelum
23921,Burkholderia<Saccharomycetales
1901,Burkholderia<Burkholderiaceae
30971,Buxtonella<Pycnotrichidae
30925,Buxtonella<Balantidiidae
